family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,subject_index,y_true,y_pred,campaign
MAE,MAE,,,,all,all,age,fine_tuning,3,4,25.104347,24.149151,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,3,0,20.033897,19.563223,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,3,1,10.086957,20.290913,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,3,2,12.6,17.275774,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,3,3,13.517241,17.226362,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,3,4,25.104347,19.652451,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,4,0,12.185185,11.123925,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,4,1,10.902439,13.382606,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,4,2,7.125,10.717767,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,4,3,31.799999,32.505634,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,4,4,10.609756,13.005901,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,4,0,12.185185,17.661057,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,4,1,10.902439,15.959748,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,4,2,7.125,17.576702,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,4,3,31.799999,21.04896,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,4,4,10.609756,20.172077,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,5,0,21.299999,23.281994,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,5,1,16.439024,16.581305,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,5,2,14.341772,16.194592,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,5,3,22.196079,25.083967,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,5,0,21.299999,20.010845,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,5,1,16.439024,18.481506,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,5,2,14.341772,18.674133,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,5,3,22.196079,19.336548,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,6,0,23.77,24.984095,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,6,1,10.272727,9.921021,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,6,2,22.170732,21.780512,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,6,3,11.014925,11.28336,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,6,0,23.77,19.919558,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,6,1,10.272727,18.692961,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,6,2,22.170732,19.350195,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,6,3,11.014925,18.892963,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,7,0,22.506172,20.120817,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,7,1,18.200001,16.027166,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,7,2,17.319635,15.949896,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,7,3,20.962963,18.075335,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,7,0,22.506172,19.302643,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,7,1,18.200001,18.653687,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,7,2,17.319635,18.097515,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,7,3,20.962963,17.353443,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,8,0,25.25,25.782316,baselines_paper
